petalLength,petalWidth,sepalLength,sepalWidth,species
1.4,0.2,5.1,3.5,setosa
1.4,0.2,4.9,3.0,setosa
1.3,0.2,4.7,3.2,setosa
1.5,0.2,4.6,3.1,setosa
1.4,0.2,5.0,3.6,setosa
1.7000000000000002,0.4,5.4,3.9,setosa
1.4,0.30000000000000004,4.6,3.4,setosa
1.5,0.2,5.0,3.4,setosa
1.4,0.2,4.4,2.9,setosa
1.5,0.1,4.9,3.1,setosa
1.5,0.2,5.4,3.7,setosa
1.6,0.2,4.8,3.4,setosa
1.4,0.1,4.8,3.0,setosa
1.1,0.1,4.3,3.0,setosa
1.2,0.2,5.8,4.0,setosa
1.5,0.4,5.7,4.4,setosa
1.3,0.4,5.4,3.9,setosa
1.4,0.30000000000000004,5.1,3.5,setosa
1.7000000000000002,0.30000000000000004,5.7,3.8,setosa
1.5,0.30000000000000004,5.1,3.8,setosa
1.7000000000000002,0.2,5.4,3.4,setosa
1.5,0.4,5.1,3.7,setosa
1.0,0.2,4.6,3.6,setosa
1.7000000000000002,0.5,5.1,3.3,setosa
1.9,0.2,4.8,3.4,setosa
1.6,0.2,5.0,3.0,setosa
1.6,0.4,5.0,3.4,setosa
1.5,0.2,5.2,3.5,setosa
1.4,0.2,5.2,3.4,setosa
1.6,0.2,4.7,3.2,setosa
1.6,0.2,4.8,3.1,setosa
1.5,0.4,5.4,3.4,setosa
1.5,0.1,5.2,4.1,setosa
1.4,0.2,5.5,4.2,setosa
1.5,0.2,4.9,3.1,setosa
1.2,0.2,5.0,3.2,setosa
1.3,0.2,5.5,3.5,setosa
1.4,0.1,4.9,3.6,setosa
1.3,0.2,4.4,3.0,setosa
1.5,0.2,5.1,3.4,setosa
1.3,0.30000000000000004,5.0,3.5,setosa
1.3,0.30000000000000004,4.5,2.3,setosa
1.3,0.2,4.4,3.2,setosa
1.6,0.6000000000000001,5.0,3.5,setosa
1.9,0.4,5.1,3.8,setosa
1.4,0.30000000000000004,4.8,3.0,setosa
1.6,0.2,5.1,3.8,setosa
1.4,0.2,4.6,3.2,setosa
1.5,0.2,5.3,3.7,setosa
1.4,0.2,5.0,3.3,setosa
4.7,1.4,7.0,3.2,versicolor
4.5,1.5,6.4,3.2,versicolor
4.9,1.5,6.9,3.1,versicolor
4.0,1.3,5.5,2.3,versicolor
4.6,1.5,6.5,2.8,versicolor
4.5,1.3,5.7,2.8,versicolor
4.7,1.6,6.3,3.3,versicolor
3.3,1.0,4.9,2.4,versicolor
4.6,1.3,6.6,2.9,versicolor
3.9,1.4,5.2,2.7,versicolor
3.5,1.0,5.0,2.0,versicolor
4.2,1.5,5.9,3.0,versicolor
4.0,1.0,6.0,2.2,versicolor
4.7,1.4,6.1,2.9,versicolor
3.6,1.3,5.6,2.9,versicolor
4.4,1.4,6.7,3.1,versicolor
4.5,1.5,5.6,3.0,versicolor
4.1,1.0,5.8,2.7,versicolor
4.5,1.5,6.2,2.2,versicolor
3.9,1.1,5.6,2.5,versicolor
4.8,1.8,5.9,3.2,versicolor
4.0,1.3,6.1,2.8,versicolor
4.9,1.5,6.3,2.5,versicolor
4.7,1.2,6.1,2.8,versicolor
4.3,1.3,6.4,2.9,versicolor
4.4,1.4,6.6,3.0,versicolor
4.8,1.4,6.8,2.8,versicolor
5.0,1.7000000000000002,6.7,3.0,versicolor
4.5,1.5,6.0,2.9,versicolor
3.5,1.0,5.7,2.6,versicolor
3.8,1.1,5.5,2.4,versicolor
3.7,1.0,5.5,2.4,versicolor
3.9,1.2,5.8,2.7,versicolor
5.1,1.6,6.0,2.7,versicolor
4.5,1.5,5.4,3.0,versicolor
4.5,1.6,6.0,3.4,versicolor
4.7,1.5,6.7,3.1,versicolor
4.4,1.3,6.3,2.3,versicolor
4.1,1.3,5.6,3.0,versicolor
4.0,1.3,5.5,2.5,versicolor
4.4,1.2,5.5,2.6,versicolor
4.6,1.4,6.1,3.0,versicolor
4.0,1.2,5.8,2.6,versicolor
3.3,1.0,5.0,2.3,versicolor
4.2,1.3,5.6,2.7,versicolor
4.2,1.2,5.7,3.0,versicolor
4.2,1.3,5.7,2.9,versicolor
4.3,1.3,6.2,2.9,versicolor
3.0,1.1,5.1,2.5,versicolor
4.1,1.3,5.7,2.8,versicolor
6.0,2.5,6.3,3.3,virginica
5.1,1.9,5.8,2.7,virginica
5.9,2.1,7.1,3.0,virginica
5.6,1.8,6.3,2.9,virginica
5.8,2.2,6.5,3.0,virginica
6.6,2.1,7.6,3.0,virginica
4.5,1.7000000000000002,4.9,2.5,virginica
6.3,1.8,7.3,2.9,virginica
5.8,1.8,6.7,2.5,virginica
6.1,2.5,7.2,3.6,virginica
5.1,2.0,6.5,3.2,virginica
5.3,1.9,6.4,2.7,virginica
5.5,2.1,6.8,3.0,virginica
5.0,2.0,5.7,2.5,virginica
5.1,2.4,5.8,2.8,virginica
5.3,2.3,6.4,3.2,virginica
5.5,1.8,6.5,3.0,virginica
6.7,2.2,7.7,3.8,virginica
6.9,2.3,7.7,2.6,virginica
5.0,1.5,6.0,2.2,virginica
5.7,2.3,6.9,3.2,virginica
4.9,2.0,5.6,2.8,virginica
6.7,2.0,7.7,2.8,virginica
4.9,1.8,6.3,2.7,virginica
5.7,2.1,6.7,3.3,virginica
6.0,1.8,7.2,3.2,virginica
4.8,1.8,6.2,2.8,virginica
4.9,1.8,6.1,3.0,virginica
5.6,2.1,6.4,2.8,virginica
5.8,1.6,7.2,3.0,virginica
6.1,1.9,7.4,2.8,virginica
6.4,2.0,7.9,3.8,virginica
5.6,2.2,6.4,2.8,virginica
5.1,1.5,6.3,2.8,virginica
5.6,1.4,6.1,2.6,virginica
6.1,2.3,7.7,3.0,virginica
5.6,2.4,6.3,3.4,virginica
5.5,1.8,6.4,3.1,virginica
4.8,1.8,6.0,3.0,virginica
5.4,2.1,6.9,3.1,virginica
5.6,2.4,6.7,3.1,virginica
5.1,2.3,6.9,3.1,virginica
5.1,1.9,5.8,2.7,virginica
5.9,2.3,6.8,3.2,virginica
5.7,2.5,6.7,3.3,virginica
5.2,2.3,6.7,3.0,virginica
5.0,1.9,6.3,2.5,virginica
5.2,2.0,6.5,3.0,virginica
5.4,2.3,6.2,3.4,virginica
5.1,1.8,5.9,3.0,virginica
